id,district,lor,street,month,hour,weekday,injury,collision,movement,light_conditions,bicycle,car,pedestrian,motorbike,truck,other_vehicle,road_conditions,longitude,latitude,Combo_type
193228,Mitte,1011302,Oranienburger Straße,March,15,Tuesday,minor,3,Stationary Traffic,Daylight,1,0,0,0,0,1,Wet,13.4078,52.52433,bicycle + other
193229,Mitte,1044101,Rehberge,March,9,Tuesday,minor,6,Overtaking,Daylight,0,1,1,0,0,0,Dry,13.33447,52.5412,car + pedestrian + 
193230,Spandau,5020627,Tiefwerder,March,7,Tuesday,minor,6,Turning,Daylight,0,0,1,0,1,0,Dry,13.2157,52.52682,pedestrian + truck + 
193231,Tempelhof-Schöneberg,7010102,Nollendorfplatz,March,14,Friday,minor,5,Turning,Daylight,0,1,0,0,0,0,Dry,13.34618,52.50105,car + 
193232,Steglitz-Zehlendorf,6010209,Feuerbachstraße,March,7,Tuesday,minor,1,Paralle Traffic,Daylight,1,1,0,0,0,0,Wet,13.33563,52.46379,bicycle + car + 
193233,Steglitz-Zehlendorf,6020409,Königsberger Straße,March,9,Tuesday,minor,0,Paralle Traffic,Daylight,0,1,0,0,0,1,Dry,13.32457,52.42841,car + other
193234,Friedrichshain-Kreuzberg,2050803,Stralauer Kiez,March,17,Tuesday,minor,3,Turning,Daylight,0,1,0,1,0,0,Dry,13.4655,52.49866,car + motorbike + 
193235,Mitte,1011303,Alexanderplatzviertel,March,19,Tuesday,minor,6,Overtaking,Night,1,0,1,0,0,0,Dry,13.41012,52.5284,bicycle + pedestrian + 
193236,Friedrichshain-Kreuzberg,2030302,Lausitzer Platz,March,17,Tuesday,serious,6,Overtaking,Dawn,0,1,1,0,0,0,Dry,13.42595,52.50178,car + pedestrian + 
193237,Neukölln,8010301,Reuterkiez,March,16,Tuesday,minor,5,Turning,Daylight,0,1,0,0,0,0,Dry,13.4303,52.48615,car + 
193238,Spandau,5020626,Adamstraße,March,15,Tuesday,minor,0,Overtaking,Daylight,0,0,1,0,0,1,Dry,13.19781,52.52017,pedestrian + other
193239,Tempelhof-Schöneberg,7040401,Neu-Tempelhof,March,13,Tuesday,minor,1,Other,Daylight,1,0,0,0,0,1,Dry,13.38399,52.48396,bicycle + other
193240,Pankow,3020209,Niederschönhausen,March,14,Tuesday,minor,5,Turning,Daylight,1,0,0,0,0,0,Dry,13.39976,52.58125,bicycle + 
193241,Spandau,5010313,Ackerstraße,March,13,Tuesday,minor,6,Overtaking,Daylight,0,1,1,0,0,0,Dry,13.19778,52.54842,car + pedestrian + 
